year,Explicit,song_count
1900,No,11
1903,No,2
1904,No,1
1905,No,1
1916,No,2
1920,No,1
1921,No,3
1922,No,1
1926,No,8
1927,No,3
1928,No,2
1929,No,8
1930,No,2
1931,No,4
1932,No,2
1933,No,2
1938,No,4
1939,No,30
1941,No,1
1944,No,4
1945,No,1
1946,No,2
1948,No,12
1949,No,4
1950,No,15
1951,No,14
1952,No,33
1953,No,39
1954,No,24
1955,No,36
1956,No,47
1957,No,97
1958,No,61
1959,No,101
1960,No,151
1961,No,179
1962,No,222
1963,No,263
1964,No,307
1965,No,387
1965,Yes,2
1966,No,409
1966,Yes,1
1967,No,730
1967,Yes,6
1968,No,579
1969,No,683
1970,No,1009
1970,Yes,1
1971,No,879
1971,Yes,3
1972,No,961
1972,Yes,3
1973,No,915
1973,Yes,3
1974,No,827
1974,Yes,1
1975,No,806
1976,No,773
1976,Yes,2
1977,No,1012
1977,Yes,17
1978,No,1189
1978,Yes,5
1979,No,1207
1979,Yes,9
1980,No,1499
1980,Yes,13
1981,No,1025
1981,Yes,16
1982,No,1142
1982,Yes,19
1983,No,1147
1983,Yes,10
1984,No,1254
1984,Yes,37
1985,No,1137
1985,Yes,35
1986,No,1124
1986,Yes,39
1987,No,1191
1987,Yes,53
1988,No,1124
1988,Yes,121
1989,No,1529
1989,Yes,113
1990,No,1355
1990,Yes,117
1991,No,1675
1991,Yes,219
1992,No,1499
1992,Yes,286
1993,No,1836
1993,Yes,353
1994,No,1977
1994,Yes,484
1995,No,2234
1995,Yes,579
1996,No,2250
1996,Yes,631
1997,No,2213
1997,Yes,449
1998,No,2156
1998,Yes,581
1999,No,2550
1999,Yes,620
2000,No,1679
2000,Yes,577
2001,No,2022
2001,Yes,733
2002,No,2491
2002,Yes,560
2003,No,2721
2003,Yes,722
2004,No,2667
2004,Yes,705
2005,No,3371
2005,Yes,747
2006,No,3276
2006,Yes,832
2007,No,3812
2007,Yes,706
2008,No,3925
2008,Yes,843
2009,No,4514
2009,Yes,1026
2010,No,4983
2010,Yes,1102
2011,No,5804
2011,Yes,1790
2012,No,7302
2012,Yes,2397
2013,No,7964
2013,Yes,3260
2014,No,9262
2014,Yes,3613
2015,No,11610
2015,Yes,5481
2016,No,14687
2016,Yes,7082
2017,No,18101
2017,Yes,10491
2018,No,18954
2018,Yes,12017
2019,No,17555
2019,Yes,12156
2020,No,14770
2020,Yes,11998
2021,No,11626
2021,Yes,8484
2022,No,5774
2022,Yes,3929
2023,No,6696
2023,Yes,2887
2024,No,15329
2024,Yes,4468
